T	14	93356	242624	3305449	
T	15	12	26	38	
T	15	104861	280926	3765146	
T	16	12	26	38	
T	16	115193	307646	4124977	
T	17	12	26	38	
T	17	113034	305152	4126748	
T	18	12	26	38	
T	18	112525	300821	4057347	
T	19	12	26	38	
T	19	115634	300962	4009959	
T	20	12	26	38	
T	20	114732	304373	4039247	
T	21	12	26	38	
T	21	119272	308621	4013768	
T	22	12	26	38	
T	22	117368	306646	3984675	
T	23	12	26	38	
T	23	124037	323493	4028575	
T	24	12	26	38	
T	24	130280	337107	4070608	
T	25	12	26	38	
T	25	121301	319217	4066943	
T	26	12	26	38	
T	26	128733	332334	4054073	
T	27	12	26	38	
T	27	118701	317908	4043230	
T	28	12	26	38	
T	28	118524	315500	4025479	
T	29	12	26	38	
T	29	120334	316815	4026108	
T	30	12	26	38	
T	30	120504	318336	4030247	
T	31	12	26	38	
T	31	122184	322205	3998706	
T	32	12	26	38	
T	32	123021	324211	4009550	
T	33	12	26	38	
T	33	124341	327280	4041907	
T	34	12	26	38	
T	34	127860	334433	4025142	
T	35	12	26	38	
T	35	127627	334484	4062293	
T	36	12	26	38	
T	36	129804	340753	4083567	
T	37	12	26	38	
T	37	128356	336727	4075219	
T	38	12	26	38	
T	38	128417	338498	4088543	
T	39	12	26	38	
T	39	127231	336040	4086520	
T	40	12	26	38	
T	40	128729	338794	4067442	
T	41	12	26	38	
T	41	130543	342790	4065294	
T	42	12	26	38	
T	42	132059	345978	4068755	
T	43	12	26	38	
T	43	131669	344417	4062573	
T	44	12	26	38	
T	44	133679	349376	4075104	
T	45	12	26	38	
T	45	135420	353498	4095312	
T	46	12	26	38	
T	46	141532	368326	4096536	
T	47	12	26	38	
T	47	140053	365052	4107216	
T	48	12	26	38	
T	48	139074	362518	4130692	
T	49	12	26	38	
T	49	135228	354806	4129479	
T	50	12	26	38	
T	50	138653	362852	4134562	
T	51	12	26	38	
T	51	140888	366910	4152581	
T	52	12	26	38	
T	52	139807	364389	4124928	
T	53	12	26	38	
T	53	141146	366671	4122173	
T	54	12	26	38	
T	54	141099	366692	4101405	
T	55	12	26	38	
T	55	141165	366921	4076669	
T	56	12	26	38	
T	56	142045	368892	4094908	
T	57	12	26	38	
T	57	143381	372175	4118476	
T	58	12	26	38	
T	58	143650	374169	4125559	
T	59	12	26	38	
T	59	145648	377827	4156079	
T	60	12	26	38	
T	60	145957	378293	4169860	
T	61	12	26	38	
T	61	150421	387997	4148948	
T	62	12	26	38	
T	62	148168	384113	4148713	
T	63	12	26	38	
T	63	149412	384569	4125051	
T	64	12	26	38	
T	64	147363	379743	4080526	
T	65	12	26	38	
T	65	147782	381916	4074978	
T	66	12	26	38	
T	66	148934	384021	4076645	
T	67	12	26	38	
T	67	152153	390494	4083390	
T	68	12	26	38	
T	68	152629	392409	4133415	
T	69	12	26	38	
T	69	155568	399156	4160835	
T	70	12	26	38	
T	70	161389	413688	4167157	
T	71	12	26	38	
T	71	165988	423382	4180708	
T	72	12	26	38	
T	72	160300	410279	4177301	
T	73	12	26	38	
T	73	164080	416398	4134397	
T	74	12	26	38	
T	74	158339	404073	4105431	
T	75	12	26	38	
T	75	158991	405190	4080371	
T	76	12	26	38	
T	76	158172	403410	4067305	
T	77	12	26	38	
T	77	163370	414568	4096256	
T	78	12	26	38	
T	78	163605	417418	4145147	
T	79	12	26	38	
T	79	166454	422332	4178779	
T	80	12	26	38	
T	80	164822	420560	4216342	
T	81	12	26	38	
